draw_id,intercept,age_centered_40,sex_2,acuity_code_blank,acuity_code_unknown,acuity_code_no_triage_esa_conducts_triage,acuity_code_immediate,acuity_code_emergent,acuity_code_semi_urgent,acuity_code_nonurgent,acuity_code_no_nursing_triage_esa,arrival_transfer_context_blank,arrival_transfer_context_unknown,arrival_transfer_context_not_applicable,arrival_transfer_context_yes_transferred_from_hospital_or_urgent_care,fever_or_temp,tachycardia_burden,hypotension_burden,seed
22,-1.666305774999199,0.035627083730258087,0.31794745560072019,0.29483849261489115,0.18076520662671172,0.54013526319096627,1.1223618963633337,1.1217959843037695,-1.5344394443497269,-0.41125894586765699,-0.27631715961857939,-0.43322684802511352,0.17628415934147615,-0.99271807144989843,1.7079723144835615,0.42945247821676574,0.25099035464816682,0.81749784877405707,20260429
23,-1.5135653411507921,0.034588183093762034,0.24488235310605261,0.028148270688844179,0.018573443666298817,-0.04758888608197781,1.3378305632282594,1.1240099226256859,-1.4443161007764074,-0.75146744273431776,-0.13551291243416197,0.021309777795720686,0.29542853484542964,-0.94804668102962819,1.435752241753363,0.44413717191881907,0.26324059590671844,0.72619061272257135,20260429
24,-1.6644188676816807,0.034816952098433385,0.16914644629049722,0.4117673482162767,0.19528721579157063,0.61265424089614728,1.1006248048397487,1.1227975021142618,-1.5906381159777525,-0.32866502156695943,-0.059067418138577368,-0.31637547185422371,-0.047420045066112845,-0.99133279582690181,1.4203110968065673,0.45264142033499971,0.24424528856607045,0.706577503107646,20260429
25,-1.4749785671087636,0.032794173084515842,0.12072229784071317,0.45576059521462203,0.17482305816107815,0.39313127711387663,1.4074460522314269,1.0135219106742048,-1.5547734662706727,-0.75761123190098911,-0.28467762759984011,0.10561975714251448,-0.082879185867333602,-0.95458969539957639,1.5705180285489284,0.32929346841723933,0.23447060546170964,0.68232449248465543,20260429
26,-1.5444516433228783,0.033388683145687548,0.13684658636852198,0.50135986305425395,0.40975074810078416,0.61678202042571861,1.0503599133454349,1.0658847351350671,-1.541817556858194,-0.25940059418363937,-0.24979346212712389,-0.51695384005900935,0.16817194879849798,-0.93152963725096094,1.5800996607261133,0.23430578071247044,0.24906988197269758,0.68028539534336741,20260429
27,-1.7387641839704708,0.035948409918622311,0.19846823145348066,0.18049414536155586,0.28535834585929581,0.92502107691249091,0.50336698121509371,1.0646854982562675,-1.3947519269487672,-0.25271742069520303,-0.25909750535895826,-0.15863785876824357,0.32138776953297543,-0.90717116583877166,1.2322564407099625,0.33115472730771844,0.25429626084503743,0.76716677551354162,20260429
28,-1.7281590645112761,0.036255900946896881,0.25253614811646052,0.3766591149338564,0.20025880101698718,0.51367480283776712,1.1623969405397034,1.0669215330971749,-1.3711212810630391,-0.5854176742320012,-0.64061837166756397,-0.17701905573110027,0.10903597843199878,-0.94460435776224994,1.3240236822804654,0.29324809016082998,0.23854271634649132,0.87655307939638505,20260429
29,-1.7400725784308562,0.034461123211747505,0.18932784267473118,0.046745555114533321,0.36166458659715606,0.28072006962301166,0.99915028310853149,1.0314336993080673,-1.6596691520344118,-0.28254276970119568,0.51540030355701072,-0.54969946993395979,0.40119218938103557,-0.90931098260466858,1.9970612560557619,0.32892311742576541,0.28971990905216494,0.696839866033241,20260429
30,-1.6939348884538954,0.034869547451282137,0.22193119314403026,0.35608792596279348,0.082585688275258182,0.44778992385015504,0.95896531368730764,1.0547867149912882,-1.6101550554011159,-0.41002353549371734,-0.061182171446693412,-0.23330832866061246,0.079728289510579212,-0.87046512314549096,1.7226332629977994,0.39730895602645999,0.31385858635240665,0.72758556412482278,20260429
31,-1.6108893629326242,0.035561698269089649,0.18307502611028084,0.34119131428862121,0.099497597066158752,0.2054187054809074,0.59655828232374575,1.0881088390705622,-1.3597085278383951,-0.64552165457835586,-0.18692934087839547,-0.2541095425062907,0.24295804658950271,-0.97531919385505994,1.3735983519478761,0.44582736384170768,0.28322084795957175,0.8460106479035252,20260429
