draw_id,intercept,age_centered_40,sex_2,high_acuity_proxy,fever_or_temp,tachycardia_burden,seed
132,-2.7227390477033038,0.042508803877467638,0.23948632929474378,1.5680036497475989,0.14581589723666638,0.26582502706937072,20260504
133,-2.6219216055543115,0.039033566722132422,0.19714835392880542,1.5141217700405412,0.23750853990450629,0.23038077998312012,20260504
134,-2.7226928524772185,0.045285130967833556,0.23705678660551882,1.3580442907361447,0.17511734643997573,0.26455446125836402,20260504
135,-2.7471058834295903,0.04336255236500422,0.22676798378079444,1.4498408628640425,0.29169784130176213,0.22913460414455053,20260504
136,-2.6384262461614956,0.042730610320373411,0.16999974433465204,1.4442155798702587,0.13128038904246217,0.24503362910793011,20260504
137,-2.6614966906968078,0.040728136606183546,0.22681395238153765,1.5377414774354889,0.23038460948499104,0.22992257464323573,20260504
138,-2.7699527858154016,0.040063109994616208,0.25162131262441118,1.5212242185379219,0.30159577835139884,0.23570993834958856,20260504
139,-2.6192237446456543,0.036601327756102697,0.10936479584240269,1.5062939532889179,0.32470517665176457,0.24355412850309724,20260504
140,-2.6541444375273029,0.04358474161862582,0.32409214192148916,1.6070538283266567,0.14707187056366061,0.26428379715721251,20260504
141,-2.6649262824376456,0.042610675788565061,0.21275148240580985,1.4312005801399297,0.28620027936219561,0.27704822273785407,20260504
142,-2.7083327054932482,0.039950663980870327,0.27865844582989419,1.5759535643297429,0.29745360193807863,0.21900563951484731,20260504
143,-2.6341432384153918,0.039869562948654298,0.13005826453408947,1.5488266683578396,-0.034883291315487175,0.24280931217265175,20260504
144,-2.6851007719777988,0.043866105518114984,0.24914599342274135,1.4394227104836042,0.011564097304423315,0.24950493929767675,20260504
145,-2.6969478567759313,0.042804428751122267,0.29626061387754543,1.4604658888922204,0.19061979555166325,0.23128686475530127,20260504
146,-2.7076155085483178,0.039135187244266872,0.27025305452474907,1.6456966750032929,0.2027462213622539,0.25520063912246288,20260504
147,-2.8156574239485495,0.041617057253331244,0.19919414736051749,1.6205266486204482,0.20438307113040444,0.26059981282465738,20260504
148,-2.66721757347206,0.042230592143912442,0.19286329284808151,1.5081113128565409,0.34970178074983299,0.23891619129396985,20260504
149,-2.6904388178401226,0.043921852357874491,0.2294981411523932,1.4854149290588574,0.12911806516761343,0.25974122447753895,20260504
150,-2.6729452926843487,0.039833513290722523,0.29973587184919148,1.5049397125940751,0.043961360111488185,0.23136839864068495,20260504
151,-2.6586484462102908,0.042335698601152993,0.32427122588164226,1.5579984178175195,0.021367640247232617,0.24812901750051986,20260504
152,-2.7464663230002784,0.040122672849978093,0.16304193057409078,1.3731672158448875,0.43434644030896907,0.23376684609228632,20260504
153,-2.7297052472877494,0.043207478234772667,0.2570461141859593,1.4611395203183362,0.29610825451704803,0.26973818194086635,20260504
154,-2.7321147185541879,0.041877800435330036,0.38494367508173177,1.4734687548213761,0.25328669619832878,0.19401610949470491,20260504
155,-2.6761334763325033,0.040881245842059689,0.26104100884188747,1.5875242694248681,0.3170959938190282,0.22449520784625113,20260504
156,-2.7513510220966535,0.043879040966452232,0.25366781212024136,1.487706647762965,0.12024744056673223,0.2187701171579497,20260504
157,-2.6363451212415594,0.040262863254412154,0.16638720035827759,1.5851172135100646,0.14795443610725764,0.24365761588953808,20260504
158,-2.6417451068593349,0.045333979621147318,0.15075779418672045,1.510440601991522,0.3310578398107123,0.20250715880259867,20260504
