draw_id,intercept,age_centered_40,sex_2,high_acuity_proxy,fever_or_temp,tachycardia_burden,hypotension_burden,seed
112,-2.8109452719103705,0.039279209473638436,0.21728717573662026,1.5006924836581164,0.29376074434514726,0.3056406648795198,0.84398239549127818,20260504
113,-2.6977886407142169,0.040566792902495673,0.25080033180869216,1.4221332043784845,0.56193538484464312,0.29144587468801897,0.94198039604675499,20260504
114,-2.6624408203302443,0.039869133374347353,0.18971640214904889,1.4075561386050734,0.40419585571017552,0.26348487956783168,0.76356370842648158,20260504
115,-2.6664121859138952,0.040903730743694647,0.27957619132583822,1.5309375268223022,0.56176543489995212,0.23896070939688999,0.76922231662917429,20260504
116,-2.7439948968593191,0.040887687974340399,0.27973335785932629,1.5312952806105915,0.41744516152645628,0.24601830273967576,0.90599572602446998,20260504
117,-2.6651674758569204,0.040626825551597794,0.21689234468179236,1.3806117768013404,0.25113240499553002,0.30764858066025597,0.68722677411516642,20260504
118,-2.7653530555436414,0.042311856095594153,0.22008468446456447,1.5307245049153486,0.38640541630805258,0.28780064637668901,0.84407573116940304,20260504
119,-2.6763091060264963,0.043632556177222524,0.32655939420282193,1.6154432117137034,0.51185333315740755,0.25460121997718105,0.82154826928850722,20260504
120,-2.7629913563883624,0.043323988804810011,0.32435349598186392,1.2937638906082898,0.27376462777312083,0.33573506686449428,0.85057570147659634,20260504
121,-2.6260127416725489,0.039273982694794408,0.22624647242000553,1.5379468839891379,0.47578006609008627,0.2370522119371154,0.90177983869606837,20260504
122,-2.7455796481192256,0.038333088742845599,0.32733013065083461,1.5096620684326663,0.35157142034559435,0.28439434868529445,0.69341472846045882,20260504
123,-2.6141381251046014,0.039650092660998677,0.18787043213970314,1.52659989173845,0.12102026358963261,0.27753451419121633,0.55774398158840488,20260504
124,-2.7678839061357206,0.043862522360477149,0.22694397279037659,1.4086945578977343,0.34585565169161636,0.25480520355274833,0.94380414632621323,20260504
125,-2.6096136410684281,0.041766530628161144,0.17914318357661521,1.3757911394081088,0.28070432004595886,0.30695659957022314,0.73714752928397198,20260504
126,-2.6813034743511355,0.043722295038275634,0.24767845900084348,1.5169309472522539,0.26834412826964466,0.25768723433078344,0.99738552518269552,20260504
127,-2.6884268479959093,0.041484230633054418,0.26074241364210266,1.4240190988747514,0.39725727151930829,0.28968415700181993,0.88766287088685303,20260504
128,-2.6251621882324105,0.04018974484132911,0.26381001318727365,1.4604462466640047,0.32716608942851239,0.27788359043505811,0.83206826304624304,20260504
129,-2.6756962554243975,0.043093499381760193,0.2774083728615343,1.5920182992750485,0.54214403370205799,0.26803254872185434,0.80854171843849754,20260504
130,-2.9103677323421273,0.044378261146840438,0.25641069653543092,1.4741359449928286,0.27877812487849524,0.34838826864453953,0.86274024612780853,20260504
131,-2.7932701301670058,0.040974850800692887,0.25968496955013504,1.5101552882687881,0.56003245485942421,0.32138548653973187,0.82711000004576074,20260504
132,-2.9599825524417063,0.045671501830652779,0.22259212550527332,1.4426521519775253,0.38278252572359645,0.32092382489446752,0.78031110024203065,20260504
133,-2.7705573279775386,0.041808839486834025,0.2699401848313957,1.4702876020206219,0.23579953636528383,0.30548279556641728,0.82740707388375156,20260504
134,-2.7667279389056643,0.039026819349455434,0.28405619971896534,1.6396476915947802,0.39386536336650957,0.28097637916827961,0.87706595009842125,20260504
135,-2.7503659923653307,0.039486238519580816,0.21182082562523705,1.4140305982565891,0.20664640179313878,0.32948584501701317,0.6784414082123732,20260504
136,-2.7964685016362294,0.044630603017150931,0.314370934458514,1.536183581647488,0.39930257511889922,0.22828439200064407,1.217034227928417,20260504
137,-2.6491343687570565,0.04152688639768156,0.27937778975792626,1.4566973784975923,0.3638745575002742,0.25667890126111842,0.82984406648915721,20260504
138,-2.7448801892269241,0.040071027910886479,0.29163561257670506,1.4326674489118978,0.19077308715770153,0.29306396325386846,0.83700425523238775,20260504
139,-2.708018099632961,0.042158854368054367,0.25018754901296891,1.4438088339671697,0.32011771086184698,0.2741209555735572,0.79404066597646994,20260504
140,-2.7277846787129865,0.04304146358319938,0.26441357346372785,1.5185912040391092,0.26181082798250277,0.25724583767249787,0.84743058392187265,20260504
141,-2.7358224273330203,0.040649546716352639,0.28522917034634093,1.4103976772026909,0.35568750931911364,0.27221327118345262,1.0281389385328241,20260504
142,-2.8011799910631199,0.041527710029103534,0.25732622488767637,1.4530343484761234,0.30356331730033342,0.27987942413146777,0.81766504189471423,20260504
143,-2.7267621517794507,0.040331300084551283,0.18206584492999212,1.5473945148671835,0.33262598664817739,0.29847633742053914,0.74897046953066504,20260504
144,-2.7105148405301591,0.038241112425370927,0.19102738695850122,1.5380021565697461,0.46417129458478024,0.29503259205123195,0.76395670346008349,20260504
145,-2.6649635408039027,0.042240895164005053,0.24475644960433615,1.4808103223791078,0.40496757180695953,0.30028386521763206,0.74853424992913109,20260504
146,-2.6391131239326375,0.040840542157025796,0.22660091877030442,1.340528333464766,0.32027336747320084,0.28375052321580913,0.77183082964437166,20260504
147,-2.6416268223267672,0.041821870241669494,0.18535781816533478,1.4108821776069149,0.20900532798144961,0.23716262349854841,0.83300729607880597,20260504
148,-2.7769290624088465,0.042255821713924127,0.23023827769897665,1.486541445581218,0.081683991161772967,0.2744036764169876,0.58981623740517575,20260504
149,-2.5930098739370893,0.042045372227450431,0.15850188111390917,1.3924782421173791,0.046557142243417893,0.26956944456514226,0.82103219380957915,20260504
150,-2.6655918910428409,0.040089456062585592,0.28685037744781988,1.3147364503697028,0.21632365810781057,0.26941888325768004,0.8446654563346252,20260504
151,-2.5763286038110742,0.039113688625091583,0.13633120876971694,1.2591768817351647,0.39205164118281405,0.32557901913488563,0.87960166704236864,20260504
